player,team,total_shots,total_goals,total_passes,completed_passes,dribbles,interceptions
Sergio Rochet Álvarez,Uruguay,0,0,76,181,0,0
Seung-Gyu Kim,South Korea,0,0,128,297,0,0
Seung-Ho Paik,South Korea,1,1,24,70,0,1
Seyed Hossein Hosseini,Iran,0,0,48,103,0,0
Seyed Majid Hosseini,Iran,0,0,108,321,1,4
Shaquell Moore,United States,0,0,21,66,0,0
Shogo Taniguchi,Japan,2,0,86,231,0,1
Shūichi Gonda,Japan,0,0,113,257,0,0
Silvan Widmer,Switzerland,1,0,164,471,0,4
Simon Thorup Kjær,Denmark,0,0,55,165,0,2
Sofiane Boufal,Morocco,7,0,134,696,20,2
Sofyan Amrabat,Morocco,1,0,323,1048,1,9
Stephen Antunes Eustáquio,Canada,3,0,93,301,2,3
Steve Mandanda,France,0,0,31,56,0,0
Steven Berghuis,Netherlands,6,0,128,394,5,0
Steven Bergwijn,Netherlands,2,0,71,290,4,0
Steven de Sousa Vitoria,Canada,0,0,183,515,0,4
Strahinja Pavlović,Serbia,2,1,152,472,2,2
Sultan Abdullah Salim Al Ghannam,Saudi Arabia,2,0,55,161,2,3
Tajon Buchanan,Canada,5,0,88,431,23,3
Takehiro Tomiyasu,Japan,0,0,98,253,0,4
Takuma Asano,Japan,9,2,29,203,1,2
Takumi Minamino,Japan,3,0,24,89,0,0
Tariq Lamptey,Ghana,1,0,33,121,2,2
Teun Koopmeiners,Netherlands,3,1,120,418,1,4
Theo Bernard François Hernández,France,5,1,332,998,6,7
Thiago Emiliano da Silva,Brazil,2,0,335,954,1,8
Thibaut Courtois,Belgium,0,0,122,301,1,0
Thilo Kehrer,Germany,0,0,28,104,0,2
Thomas Delaney,Denmark,0,0,31,103,0,0
Thomas Meunier,Belgium,3,0,142,412,2,6
Thomas Müller,Germany,3,0,72,285,0,1
Thomas Teye Partey,Ghana,2,0,181,558,5,3
Thorgan Hazard,Belgium,0,0,59,190,1,0
Tim Ream,United States,1,0,270,771,1,10
Timothy Castagne,Belgium,0,0,201,573,2,1
Timothy Weah,United States,5,1,109,419,4,0
Toby Alderweireld,Belgium,0,0,267,781,0,2
Trent Alexander-Arnold,England,0,0,23,64,0,1
Tyler Adams,United States,1,0,269,828,2,6
Unai Simón Mendibil,Spain,0,0,158,419,0,0
Vanja Milinković Savić,Serbia,0,0,127,308,0,0
Victor Nelsson,Denmark,0,0,72,200,0,1
Vincent Janssen,Netherlands,2,0,20,108,1,0
Vincent Paté Aboubakar,Cameroon,6,2,31,170,7,0
Vinícius José Paixão de Oliveira Júnior,Brazil,9,1,91,473,15,1
Virgil van Dijk,Netherlands,4,0,343,951,1,5
Vitor Machado Ferreira,Portugal,2,0,109,356,1,0
Wahbi Khazri,Tunisia,5,1,20,110,1,0
Wajdi Kechrida,Tunisia,0,0,66,168,1,1
Walker Zimmerman,United States,1,0,233,669,0,5
Wataru Endo,Japan,6,0,187,633,3,4
Wayne Hennessey,Wales,0,0,66,168,0,0
Weston McKennie,United States,5,0,146,501,2,1
William Saliba,France,0,0,37,103,1,0
William Silva de Carvalho,Portugal,1,0,165,514,1,2
Wojciech Szczęsny,Poland,0,0,146,317,1,0
Woo-Young Jung,South Korea,1,0,208,622,0,6
Wout Weghorst,Netherlands,3,3,16,92,0,0
Xherdan Shaqiri,Switzerland,4,1,104,356,2,1
Yahia Attiyat allah,Morocco,2,0,138,418,2,1
Yann Sommer,Switzerland,0,0,117,315,0,0
Yannick Ferreira Carrasco,Belgium,4,0,46,185,2,1
Yasir Gharsan Al Shahrani,Saudi Arabia,0,0,26,82,1,8
Yassine Bounou,Morocco,0,0,210,473,0,0
Yassine Meriah,Tunisia,1,0,168,508,2,1
Yeltsin Ignacio Tejeda Valverde,Costa Rica,2,1,98,319,0,4
Young-Gwon Kim,South Korea,2,1,210,582,0,5
Youri Tielemans,Belgium,0,0,61,193,1,3
Youssef En-Nesyri,Morocco,11,2,76,465,9,0
Youssef Msakni,Tunisia,9,0,70,284,5,1
Youssouf Fofana,France,4,0,112,401,2,3
Youssouf Sabaly,Senegal,2,0,222,686,4,4
Yuki Soma,Japan,3,0,20,86,2,0
Yunus Dimoara Musah,United States,4,0,182,661,7,4
Yuto Nagatomo,Japan,0,0,108,305,4,3
Zakaria Aboukhlal,Morocco,3,1,13,84,2,1
Álvaro Borja Morata Martín,Spain,8,3,40,202,2,0
Ángel Fabián Di María Hernández,Argentina,7,1,164,631,29,2
Éder Gabriel Militão,Brazil,5,0,277,821,0,2
Érick Gabriel Gutiérrez Galaviz,Mexico,0,0,30,100,1,2
Óscar Esau Duarte Gaitán,Costa Rica,0,0,97,279,0,4
İlkay Gündoğan,Germany,6,1,163,501,4,1
