player,team,total_shots,total_goals,total_passes,completed_passes,dribbles,interceptions
César Jasib Montes Castro,Mexico,1,0,192,542,2,1
Daichi Kamada,Japan,6,0,104,445,7,1
Daley Blind,Netherlands,5,1,304,891,2,5
Damián Emiliano Martínez,Argentina,0,0,186,418,0,0
Daniel Alves da Silva,Brazil,3,0,99,281,1,0
Daniel Amartey,Ghana,0,0,140,436,1,2
Daniel Carvajal Ramos,Spain,0,0,135,342,1,1
Daniel James,Wales,0,0,34,161,2,1
Daniel Olmo Carvajal,Spain,12,1,196,763,18,3
Daniel Ward,Wales,0,0,39,100,0,0
Daniel-Kofi Kyereh,Ghana,0,0,24,94,2,0
Danilo Luiz da Silva,Brazil,2,0,267,713,1,1
Danilo Luís Hélio Pereira,Portugal,0,0,80,235,1,1
Darwin Gabriel Núñez Ribeiro,Uruguay,3,0,54,278,4,1
David Junior Hoilett,Canada,4,0,55,235,6,2
David Raum,Germany,0,0,193,532,3,6
Davy Klaassen,Netherlands,2,1,81,245,0,1
Dayotchanculle Upamecano,France,0,0,345,1030,1,13
DeAndre Yedlin,United States,0,0,30,69,0,0
Declan Rice,England,0,0,327,942,3,12
Dejan Lovren,Croatia,4,0,454,1284,0,7
Denis Lemi Zakaria Lako Lado,Switzerland,1,0,22,84,2,5
Denzel Dumfries,Netherlands,2,1,218,708,6,5
Devis Rogers Epassy Mboka,Cameroon,0,0,84,181,0,0
Diego Nicolás De La Cruz Arcosa,Uruguay,1,0,24,96,1,0
Diego Roberto Godín Leal,Uruguay,1,0,98,269,0,1
Diogo Meireles Costa,Portugal,0,0,159,366,0,0
Djibril Sow,Switzerland,2,0,97,361,1,2
Dominik Livaković,Croatia,0,0,228,564,0,0
Dries Mertens,Belgium,3,0,36,112,1,0
Dušan Tadić,Serbia,1,0,125,461,8,2
Dušan Vlahović,Serbia,3,1,13,73,1,0
Dylan Daniel Mahmoud Bronn,Tunisia,1,0,95,257,1,1
Eden Hazard,Belgium,1,0,59,230,8,1
Ederson Santana de Moraes,Brazil,0,0,30,79,0,0
Edimilson Fernandes,Switzerland,1,0,81,246,2,1
Edinson Roberto Cavani Gómez,Uruguay,3,0,39,139,1,1
Edouard Mendy,Senegal,0,0,117,272,0,0
Edson Omar Álvarez Velázquez,Mexico,1,0,109,319,1,4
Eduardo Camavinga,France,0,0,103,352,4,2
Ehsan Hajsafi,Iran,1,0,99,282,2,2
Ellyes Joris Skhiri,Tunisia,2,0,128,434,4,5
Enner Remberto Valencia Lastra,Ecuador,9,3,51,362,7,2
Enzo Ebosse,Cameroon,0,0,39,116,0,0
Enzo Fernandez,Argentina,9,1,470,1487,6,5
Eray Ervin Cömert,Switzerland,0,0,41,128,0,4
Eric Dier,England,0,0,42,118,0,0
Ernesto Alexis Vega Rojas,Mexico,9,0,54,274,3,3
Ethan Ampadu,Wales,1,0,144,417,4,5
Exequiel Alejandro Palacios,Argentina,1,0,28,115,0,2
Fabian Lukas Schär,Switzerland,2,0,80,222,0,3
Fabian Rieder,Switzerland,0,0,27,117,1,1
Facundo Pellistri Rebollo,Uruguay,1,0,45,235,6,1
Famara Diedhiou,Senegal,3,1,14,117,0,0
Federico Santiago Valverde Dipetta,Uruguay,7,0,186,547,3,5
Felix Eduardo Torres Caicedo,Ecuador,1,0,199,504,1,3
Ferjani Sassi,Tunisia,1,0,34,109,2,0
Ferrán Torres García,Spain,4,2,86,387,10,0
Filip Kostić,Serbia,1,0,112,316,1,1
Filip Mladenović,Serbia,1,0,24,80,2,0
Firas Tariq Nasser Al Albirakan,Saudi Arabia,2,0,69,306,5,2
Fran Karačić,Australia,3,0,55,143,1,1
Francisco Guillermo Ochoa Magaña,Mexico,0,0,108,248,0,0
Francisco Javier Calvo Quesada,Costa Rica,1,0,101,315,4,4
Frederico Rodrigues Santos,Brazil,3,0,80,285,1,1
Frenkie de Jong,Netherlands,2,1,364,1103,11,3
Fábio Henrique Tavares,Brazil,0,0,56,165,0,2
Gabriel Fernando de Jesus,Brazil,2,0,27,143,1,1
Gabriel Teodoro Martinelli Silva,Brazil,4,0,46,210,6,0
Gareth Frank Bale,Wales,2,1,55,224,3,1
Germán Alejandro Pezzella,Argentina,1,0,49,139,0,0
Gideon Mensah,Ghana,0,0,45,125,0,2
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,3,2,51,192,2,0
Giovanni Reyna,United States,2,0,35,120,1,0
Gleison Bremer Silva Nascimento,Brazil,1,0,85,248,0,0
Gonzalo Ariel Montiel,Argentina,3,2,82,263,2,1
Gonzalo Jordy Plata Jiménez,Ecuador,2,0,104,426,10,3
Gonçalo Matias Ramos,Portugal,7,3,30,199,2,0
Granit Xhaka,Switzerland,6,0,240,716,1,4
Gregor Kobel,Switzerland,0,0,29,58,0,0
Grzegorz Krychowiak,Poland,1,0,127,422,1,7
Gue-Sung Cho,South Korea,8,2,60,346,3,1
Guido Rodríguez,Argentina,0,0,62,173,0,0
Guillermo Varela Olivera,Uruguay,0,0,91,243,2,1
Haji Wright,United States,7,1,27,177,0,0
Hakim Ziyech,Morocco,11,2,300,1126,30,14
Harry Kane,England,12,2,97,474,7,0
Harry Maguire,England,6,0,408,1137,3,5
Harry Souttar,Australia,1,0,163,476,0,3
Harry Wilson,Wales,2,0,62,205,0,1
Hassan Khalid Al Heidos,Qatar,1,0,77,327,6,1
Hassan Mohammed Al-Tambakti,Saudi Arabia,0,0,49,158,0,6
Hee-Chan Hwang,South Korea,6,1,57,277,9,1
Henry Josué Martín Mex,Mexico,4,1,22,140,0,2
Hernán Ismael Galíndez,Ecuador,0,0,77,146,0,0
Heung-Min Son,South Korea,9,0,122,481,9,1
Hidemasa Morita,Japan,3,0,161,520,3,3
Hiroki Ito,Japan,0,0,63,160,0,0
Hiroki Sakai,Japan,1,0,46,149,2,1
Hirving Rodrigo Lozano Bahena,Mexico,6,0,74,409,6,1
Homam Alamin Ahmed,Qatar,0,0,103,318,6,2
Hugo Lloris,France,0,0,182,370,0,0
Héctor Alfredo Moreno Herrera,Mexico,1,0,191,515,0,2
Héctor Miguel Herrera López,Mexico,0,0,75,239,2,2
Ibrahima Konaté,France,2,0,228,698,0,9
Idrissa Gana Gueye,Senegal,4,0,131,455,2,4
Iliman Ndiaye,Senegal,2,0,35,183,9,1
In-Beom Hwang,South Korea,6,0,247,761,4,3
Ismaeel Mohammad Mohammad,Qatar,2,0,67,230,1,3
Ismael Koné,Canada,0,0,102,312,1,0
Ismail Jakobs,Senegal,1,0,157,368,1,3
Ismaïla Sarr,Senegal,10,1,81,462,13,3
Issam Jebali,Tunisia,3,0,37,271,4,0
Ivan Ilić,Serbia,0,0,20,67,0,1
Ivan Perišić,Croatia,16,1,304,1032,17,11
Iñaki Williams Arthuer,Ghana,2,0,44,252,4,0
Jack Grealish,England,1,1,56,227,2,2
Jackson Gabriel Porozo Vernaza,Ecuador,1,0,42,136,0,5
Jackson Irvine,Australia,3,0,129,450,2,7
Jae-Sung Lee,South Korea,1,0,96,369,2,3
Jakub Kamiński,Poland,4,0,59,267,6,1
Jakub Piotr Kiwior,Poland,1,0,201,541,0,4
Jamal Musiala,Germany,11,0,117,578,33,3
Jan Vertonghen,Belgium,2,0,264,746,0,3
Jawad El Yamiq,Morocco,1,0,160,469,0,5
Jean-Charles Castelletto,Cameroon,1,1,78,250,1,6
Jean-Eric Maxim Choupo-Moting,Cameroon,3,1,69,268,6,1
Jeremy Leonel Sarmiento Morante,Ecuador,1,0,33,130,3,1
Jesper Lindstrøm,Denmark,3,0,54,291,13,5
Jesus Ferreira,United States,0,0,20,70,0,0
Jesús Daniel Gallardo Vasconcelos,Mexico,1,0,138,386,2,4
Jhegson Sebastián Méndez Carabalí,Ecuador,0,0,141,416,1,1
Jin-Su Kim,South Korea,3,0,141,395,2,7
Joachim Andersen,Denmark,4,0,245,688,1,4
Joakim Mæhle,Denmark,2,0,145,478,6,3
Joe Allen,Wales,2,0,36,122,0,1
Joe Rodon,Wales,0,0,162,475,0,3
Joel Nathaniel Campbell Samuels,Costa Rica,1,0,137,531,13,0
John Stones,England,4,0,450,1291,1,2
Jonas Hofmann,Germany,1,0,20,69,1,0
Jonathan David,Canada,8,0,59,258,4,0
Jonathan Osorio,Canada,1,0,60,233,3,0
Jordan Ayew,Ghana,1,0,44,223,7,1
Jordan Brian Henderson,England,2,1,166,513,2,1
Jordan Pickford,England,0,0,161,396,0,0
Jordan Veretout,France,0,0,35,115,0,0
Jordi Alba Ramos,Spain,2,0,371,1019,4,5
Jorge Eduardo Sánchez Ramos,Mexico,1,0,86,252,4,5
Jorge Resurrección Merodio,Spain,0,0,63,177,0,2
Joshua Kimmich,Germany,7,0,271,727,3,7
Joshua Sargent,United States,4,0,34,191,1,1
Josip Juranović,Croatia,1,0,406,1102,4,6
Josip Stanišić,Croatia,1,0,49,126,0,1
Josip Šutalo,Croatia,0,0,66,194,0,0
José Adoni Cifuentes Charcopa,Ecuador,1,0,43,138,1,0
José Diogo Dalot Teixeira,Portugal,1,0,142,400,4,3
José Martín Cáceres Silva,Uruguay,0,0,81,202,1,2
José María Giménez de Vargas,Uruguay,3,0,167,475,2,6
João Félix Sequeira,Portugal,11,1,122,489,9,1
João Maria Lobo Alves Palhinha Gonçalves,Portugal,1,0,30,110,3,1
João Mário Naval da Costa Eduardo,Portugal,0,0,40,152,3,1
João Pedro Cavaco Cancelo,Portugal,2,0,269,782,12,3
Joško Gvardiol,Croatia,2,1,510,1545,2,14
Juan Pablo Vargas Campos,Costa Rica,1,0,28,91,0,4
Jude Bellingham,England,5,1,275,937,11,4
Jules Koundé,France,4,0,308,839,4,3
Julián Álvarez,Argentina,11,4,124,627,4,2
Jun-Ho Son,South Korea,0,0,61,178,0,2
Junya Ito,Japan,2,0,98,367,6,5
Jurriën David Norman Timber,Netherlands,0,0,316,989,5,5
Kai Havertz,Germany,5,2,33,152,1,1
Kalidou Koulibaly,Senegal,1,1,196,571,1,6
Kamal Miller,Canada,0,0,199,589,2,8
Kamaldeen Sulemana,Ghana,1,0,20,94,4,0
Kamil Glik,Poland,3,0,130,405,0,4
Kang-In Lee,South Korea,5,0,77,262,1,0
Kaoru Mitoma,Japan,2,0,73,272,4,2
Karim Boudiaf,Qatar,0,0,107,344,2,0
Karl Brillant Toko Ekambi,Cameroon,2,0,52,216,2,2
Kasper Dolberg,Denmark,4,0,18,145,4,0
Kasper Schmeichel,Denmark,0,0,87,235,0,0
Keanu Baccus,Australia,1,0,40,178,1,2
Kendall Jamaal Waston Manley,Costa Rica,1,0,77,233,0,5
Kevin De Bruyne,Belgium,7,0,140,427,7,1
Kevin Nahin Álvarez Campos,Mexico,0,0,24,81,2,4
Keylor Navas Gamboa,Costa Rica,0,0,101,217,0,0
